Quarter,Quarterly Average Temperature (F)
1875Q1,52.5
1875Q2,52.5
1875Q3,52.5
1875Q4,52.5
1876Q1,51.5
1876Q2,51.5
1876Q3,51.5
1876Q4,51.5
1877Q1,52.0
1877Q2,52.0
1877Q3,52.0
1877Q4,52.0
1878Q1,52.5
1878Q2,52.5
1878Q3,52.5
1878Q4,52.5
1879Q1,52.7
1879Q2,52.7
1879Q3,52.7
1879Q4,52.7
1880Q1,48.6
1880Q2,48.6
1880Q3,48.6
1880Q4,48.6
1881Q1,52.3
1881Q2,52.3
1881Q3,52.3
1881Q4,52.3
1882Q1,49.6
1882Q2,49.6
1882Q3,49.6
1882Q4,49.6
1883Q1,50.8
1883Q2,50.8
1883Q3,50.8
1883Q4,50.8
1884Q1,51.0
1884Q2,51.0
1884Q3,51.0
1884Q4,51.0
1885Q1,52.8
1885Q2,52.8
1885Q3,52.8
1885Q4,52.8
1886Q1,52.0
1886Q2,52.0
1886Q3,52.0
1886Q4,52.0
1887Q1,52.6
1887Q2,52.6
1887Q3,52.6
1887Q4,52.6
1888Q1,53.0
1888Q2,53.0
1888Q3,53.0
1888Q4,53.0
1889Q1,52.9
1889Q2,52.9
1889Q3,52.9
1889Q4,52.9
1890Q1,51.4
1890Q2,51.4
1890Q3,51.4
1890Q4,51.4
1891Q1,50.8
1891Q2,50.8
1891Q3,50.8
1891Q4,50.8
1892Q1,51.2
1892Q2,51.2
1892Q3,51.2
1892Q4,51.2
1893Q1,50.3
1893Q2,50.3
1893Q3,50.3
1893Q4,50.3
1894Q1,51.0
1894Q2,51.0
1894Q3,51.0
1894Q4,51.0
1895Q1,50.4
1895Q2,50.4
1895Q3,50.4
1895Q4,50.4
1896Q1,51.6
1896Q2,51.6
1896Q3,51.6
1896Q4,51.6
1897Q1,50.6
1897Q2,50.6
1897Q3,50.6
1897Q4,50.6
1898Q1,49.7
1898Q2,49.7
1898Q3,49.7
1898Q4,49.7
1899Q1,51.0
1899Q2,51.0
1899Q3,51.0
1899Q4,51.0
1900Q1,53.9
1900Q2,53.9
1900Q3,53.9
1900Q4,53.9
1901Q1,53.5
1901Q2,53.5
1901Q3,53.5
1901Q4,53.5
1902Q1,52.1
1902Q2,52.1
1902Q3,52.1
1902Q4,52.1
1903Q1,50.6
1903Q2,50.6
1903Q3,50.6
1903Q4,50.6
1904Q1,51.8
1904Q2,51.8
1904Q3,51.8
1904Q4,51.8
1905Q1,51.7
1905Q2,51.7
1905Q3,51.7
1905Q4,51.7
1906Q1,51.2
1906Q2,51.2
1906Q3,51.2
1906Q4,51.2
1907Q1,52.4
1907Q2,52.4
1907Q3,52.4
1907Q4,52.4
1908Q1,50.1
1908Q2,50.1
1908Q3,50.1
1908Q4,50.1
1909Q1,51.8
1909Q2,51.8
1909Q3,51.8
1909Q4,51.8
1910Q1,54.5
1910Q2,54.5
1910Q3,54.5
1910Q4,54.5
1911Q1,51.2
1911Q2,51.2
1911Q3,51.2
1911Q4,51.2
1912Q1,50.9
1912Q2,50.9
1912Q3,50.9
1912Q4,50.9
1913Q1,51.3
1913Q2,51.3
1913Q3,51.3
1913Q4,51.3
1914Q1,53.2
1914Q2,53.2
1914Q3,53.2
1914Q4,53.2
1915Q1,53.2
1915Q2,53.2
1915Q3,53.2
1915Q4,53.2
1916Q1,51.1
1916Q2,51.1
1916Q3,51.1
1916Q4,51.1
1917Q1,50.7
1917Q2,50.7
1917Q3,50.7
1917Q4,50.7
1918Q1,52.3
1918Q2,52.3
1918Q3,52.3
1918Q4,52.3
1919Q1,52.5
1919Q2,52.5
1919Q3,52.5
1919Q4,52.5
1920Q1,51.3
1920Q2,51.3
1920Q3,51.3
1920Q4,51.3
1921Q1,54.4
1921Q2,54.4
1921Q3,54.4
1921Q4,54.4
1922Q1,51.2
1922Q2,51.2
1922Q3,51.2
1922Q4,51.2
1923Q1,50.8
1923Q2,50.8
1923Q3,50.8
1923Q4,50.8
1924Q1,51.5
1924Q2,51.5
1924Q3,51.5
1924Q4,51.5
1925Q1,53.1
1925Q2,53.1
1925Q3,53.1
1925Q4,53.1
1926Q1,53.9
1926Q2,53.9
1926Q3,53.9
1926Q4,53.9
1927Q1,52.5
1927Q2,52.5
1927Q3,52.5
1927Q4,52.5
1928Q1,50.7
1928Q2,50.7
1928Q3,50.7
1928Q4,50.7
1929Q1,49.3
1929Q2,49.3
1929Q3,49.3
1929Q4,49.3
1930Q1,49.4
1930Q2,49.4
1930Q3,49.4
1930Q4,49.4
1931Q1,49.9
1931Q2,49.9
1931Q3,49.9
1931Q4,49.9
1932Q1,48.2
1932Q2,48.2
1932Q3,48.2
1932Q4,48.2
1933Q1,50.5
1933Q2,50.5
1933Q3,50.5
1933Q4,50.5
1934Q1,55.3
1934Q2,55.3
1934Q3,55.3
1934Q4,55.3
1935Q1,51.9
1935Q2,51.9
1935Q3,51.9
1935Q4,51.9
1936Q1,52.2
1936Q2,52.2
1936Q3,52.2
1936Q4,52.2
1937Q1,51.4
1937Q2,51.4
1937Q3,51.4
1937Q4,51.4
1938Q1,52.0
1938Q2,52.0
1938Q3,52.0
1938Q4,52.0
1939Q1,51.7
1939Q2,51.7
1939Q3,51.7
1939Q4,51.7
1940Q1,53.8
1940Q2,53.8
1940Q3,53.8
1940Q4,53.8
1941Q1,51.5
1941Q2,51.5
1941Q3,51.5
1941Q4,51.5
1942Q1,49.7
1942Q2,49.7
1942Q3,49.7
1942Q4,49.7
1943Q1,52.2
1943Q2,52.2
1943Q3,52.2
1943Q4,52.2
1944Q1,49.4
1944Q2,49.4
1944Q3,49.4
1944Q4,49.4
1945Q1,50.5
1945Q2,50.5
1945Q3,50.5
1945Q4,50.5
1946Q1,52.0
1946Q2,52.0
1946Q3,52.0
1946Q4,52.0
1947Q1,51.6
1947Q2,51.6
1947Q3,51.6
1947Q4,51.6
1948Q1,50.6
1948Q2,50.6
1948Q3,50.6
1948Q4,50.6
1949Q1,50.1
1949Q2,50.1
1949Q3,50.1
1949Q4,50.1
1950Q1,51.6
1950Q2,51.6
1950Q3,51.6
1950Q4,51.6
1951Q1,50.4
1951Q2,50.4
1951Q3,50.4
1951Q4,50.4
1952Q1,51.1
1952Q2,51.1
1952Q3,51.1
1952Q4,51.1
1953Q1,53.2
1953Q2,53.2
1953Q3,53.2
1953Q4,53.2
1954Q1,52.8
1954Q2,52.8
1954Q3,52.8
1954Q4,52.8
1955Q1,49.6
1955Q2,49.6
1955Q3,49.6
1955Q4,49.6
1956Q1,51.5
1956Q2,51.5
1956Q3,51.5
1956Q4,51.5
1957Q1,51.7
1957Q2,51.7
1957Q3,51.7
1957Q4,51.7
1958Q1,53.6
1958Q2,53.6
1958Q3,53.6
1958Q4,53.6
1959Q1,51.7
1959Q2,51.7
1959Q3,51.7
1959Q4,51.7
1960Q1,51.9
1960Q2,51.9
1960Q3,51.9
1960Q4,51.9
1961Q1,52.3
1961Q2,52.3
1961Q3,52.3
1961Q4,52.3
1962Q1,50.6
1962Q2,50.6
1962Q3,50.6
1962Q4,50.6
1963Q1,50.9
1963Q2,50.9
1963Q3,50.9
1963Q4,50.9
1964Q1,48.3
1964Q2,48.3
1964Q3,48.3
1964Q4,48.3
1965Q1,50.5
1965Q2,50.5
1965Q3,50.5
1965Q4,50.5
1966Q1,52.4
1966Q2,52.4
1966Q3,52.4
1966Q4,52.4
1967Q1,51.9
1967Q2,51.9
1967Q3,51.9
1967Q4,51.9
1968Q1,50.3
1968Q2,50.3
1968Q3,50.3
1968Q4,50.3
1969Q1,52.0
1969Q2,52.0
1969Q3,52.0
1969Q4,52.0
1970Q1,51.6
1970Q2,51.6
1970Q3,51.6
1970Q4,51.6
1971Q1,50.5
1971Q2,50.5
1971Q3,50.5
1971Q4,50.5
1972Q1,52.3
1972Q2,52.3
1972Q3,52.3
1972Q4,52.3
1973Q1,51.4
1973Q2,51.4
1973Q3,51.4
1973Q4,51.4
1974Q1,52.9
1974Q2,52.9
1974Q3,52.9
1974Q4,52.9
1975Q1,50.8
1975Q2,50.8
1975Q3,50.8
1975Q4,50.8
1976Q1,51.6
1976Q2,51.6
1976Q3,51.6
1976Q4,51.6
1977Q1,53.2
1977Q2,53.2
1977Q3,53.2
1977Q4,53.2
1978Q1,53.3
1978Q2,53.3
1978Q3,53.3
1978Q4,53.3
1979Q1,52.7
1979Q2,52.7
1979Q3,52.7
1979Q4,52.7
1980Q1,52.8
1980Q2,52.8
1980Q3,52.8
1980Q4,52.8
1981Q1,54.3
1981Q2,54.3
1981Q3,54.3
1981Q4,54.3
1982Q1,51.0
1982Q2,51.0
1982Q3,51.0
1982Q4,51.0
1983Q1,53.5
1983Q2,53.5
1983Q3,53.5
1983Q4,53.5
1984Q1,51.0
1984Q2,51.0
1984Q3,51.0
1984Q4,51.0
1985Q1,51.9
1985Q2,51.9
1985Q3,51.9
1985Q4,51.9
1986Q1,52.7
1986Q2,52.7
1986Q3,52.7
1986Q4,52.7
1987Q1,53.4
1987Q2,53.4
1987Q3,53.4
1987Q4,53.4
1988Q1,53.3
1988Q2,53.3
1988Q3,53.3
1988Q4,53.3
1989Q1,52.2
1989Q2,52.2
1989Q3,52.2
1989Q4,52.2
1990Q1,53.4
1990Q2,53.4
1990Q3,53.4
1990Q4,53.4
1991Q1,51.8
1991Q2,51.8
1991Q3,51.8
1991Q4,51.8
1992Q1,53.6
1992Q2,53.6
1992Q3,53.6
1992Q4,53.6
1993Q1,50.3
1993Q2,50.3
1993Q3,50.3
1993Q4,50.3
1994Q1,54.7
1994Q2,54.7
1994Q3,54.7
1994Q4,54.7
1995Q1,53.9
1995Q2,53.9
1995Q3,53.9
1995Q4,53.9
1996Q1,54.3
1996Q2,54.3
1996Q3,54.3
1996Q4,54.3
1997Q1,53.4
1997Q2,53.4
1997Q3,53.4
1997Q4,53.4
1998Q1,52.9
1998Q2,52.9
1998Q3,52.9
1998Q4,52.9
1999Q1,53.3
1999Q2,53.3
1999Q3,53.3
1999Q4,53.3
2000Q1,53.7
2000Q2,53.7
2000Q3,53.7
2000Q4,53.7
2001Q1,53.8
2001Q2,53.8
2001Q3,53.8
2001Q4,53.8
2002Q1,52.0
2002Q2,52.0
2002Q3,52.0
2002Q4,52.0
2003Q1,55.0
2003Q2,55.0
2003Q3,55.0
2003Q4,55.0
2004Q1,52.1
2004Q2,52.1
2004Q3,52.1
2004Q4,52.1
2005Q1,53.4
2005Q2,53.4
2005Q3,53.4
2005Q4,53.4
2006Q1,53.8
2006Q2,53.8
2006Q3,53.8
2006Q4,53.8
2007Q1,53.8
2007Q2,53.8
2007Q3,53.8
2007Q4,53.8
2008Q1,51.9
2008Q2,51.9
2008Q3,51.9
2008Q4,51.9
2009Q1,52.1
2009Q2,52.1
2009Q3,52.1
2009Q4,52.1
2010Q1,52.7
2010Q2,52.7
2010Q3,52.7
2010Q4,52.7
2011Q1,51.8
2011Q2,51.8
2011Q3,51.8
2011Q4,51.8
2012Q1,56.6
2012Q2,56.6
2012Q3,56.6
2012Q4,56.6
2013Q1,53.3
2013Q2,53.3
2013Q3,53.3
2013Q4,53.3
2014Q1,55.6
2014Q2,55.6
2014Q3,55.6
2014Q4,55.6
2015Q1,56.3
2015Q2,56.3
2015Q3,56.3
2015Q4,56.3
2016Q1,56.2
2016Q2,56.2
2016Q3,56.2
2016Q4,56.2
2017Q1,56.1
2017Q2,56.1
2017Q3,56.1
2017Q4,56.1
2018Q1,56.2
2018Q2,56.2
2018Q3,56.2
2018Q4,56.2
2019Q1,53.6
2019Q2,53.6
2019Q3,53.6
2019Q4,53.6
2020Q1,55.7
2020Q2,55.7
2020Q3,55.7
2020Q4,55.7
2021Q1,56.3
2021Q2,56.3
2021Q3,56.3
2021Q4,56.3
2022Q1,55.9
2022Q2,55.9
2022Q3,55.9
2022Q4,55.9
2023Q1,55.6
2023Q2,55.6
2023Q3,55.6
2023Q4,55.6
