Year,DATE,C,I,G,IM,EX,Temp,inflation,unemploy,LTGBY,pop_44,pop_64,top10
1955,7/1/1955,0.016374269,0.027510316,0.017297297,0.01754386,0.071005917,49.6,0.49937578,4,2.9,0,0,36.7
1955,10/1/1955,0.014959724,0.0562249,-0.008501594,0.040229885,0.011049724,49.6,0.124223602,4.3,2.88,0,0,36.7
1956,1/1/1956,0.006046863,-0.007604563,0.01607717,0.044198895,0.06010929,51.5,-0.248138958,4,2.9,0.003923526,0.016446579,35.74
1956,4/1/1956,0.009767092,-0.01660281,0.035864979,0.005291005,0.077319588,51.5,0.870646766,4,3.18,0,0,35.74
1956,7/1/1956,0.012276786,0.016883117,0.00101833,0.015789474,0.043062201,51.5,1.233045623,4.4,3.11,0,0,35.74
1956,10/1/1956,0.019478133,-0.01532567,0.03051882,-0.041450777,0.059633028,51.5,0.609013398,3.9,3.34,0,0,35.74
1957,1/1/1957,0.016222062,0.007782101,0.039486673,0.086486486,0.077922078,51.7,0.605326877,4.2,3.46,0.001294098,0.015689173,35.69
1957,4/1/1957,0.008158922,0.002574003,0.004748338,0.009950249,-0.020080321,51.7,1.083032491,3.9,3.48,0,0,35.69
1957,7/1/1957,0.016185785,0.017971759,0.015122873,-0.024630542,-0.024590164,51.7,1.071428571,4.2,3.93,0,0,35.69
1957,10/1/1957,0.005540166,-0.104665826,0.025139665,-0.01010101,-0.033613445,51.7,0.23557126,4.5,3.97,0,0,35.69
1958,1/1/1958,-0.001721763,-0.06056338,-0.002724796,-0.005102041,-0.108695652,53.6,1.057579318,5.8,3.09,-0.002186371,0.014958496,35.51
1958,4/1/1958,0.010003449,-0.023988006,0.034608379,0.030769231,0,53.6,0.813953488,7.4,2.88,0,0,35.51
1958,7/1/1958,0.017418033,0.105990783,0.013204225,-0.019900498,0.004878049,53.6,0.115340254,7.5,3.2,0,0,35.51
1958,10/1/1958,0.013091641,0.111111111,0.025195482,0.055837563,0,53.6,0,6.7,3.8,0,0,35.51
1959,1/1/1959,0.02518224,0.04,-0.006779661,0.028846154,0.063106796,51.7,0,6,4.02,-0.003063448,0.01578481,35.95
1959,4/1/1959,0.019715579,0.074519231,0.01109215,0.051401869,-0.00456621,51.7,0.34562212,5.2,4.12,0,0,35.95
1959,7/1/1959,0.016481775,-0.064876957,0.008438819,0.017777778,0.105504587,51.7,0.688863375,5.1,4.4,0,0,35.95
1959,10/1/1959,0.006548176,0.034688995,-0.007531381,-0.017467249,-0.041493776,51.7,0.570125428,5.7,4.53,0,0,35.95
1960,1/1/1960,0.011152416,0.115606936,-0.013490725,0.035555556,0.12987013,51.9,-0.113378685,5.2,4.72,-0.001093841,0.015143537,35.49
1960,4/1/1960,0.017769608,-0.097409326,0.011965812,0.008583691,0.030651341,51.9,0.56753689,5.2,4.28,0,0,35.49
1960,7/1/1960,-0.000301023,-0.008036739,0.033783784,-0.025531915,0.026022305,51.9,0.225733634,5.5,3.9,0,0,35.49
1960,10/1/1960,0.005721168,-0.12037037,0.015522876,-0.052401747,0,51.9,0.675675676,6.1,3.89,0,0,35.49
1961,1/1/1961,0.001497006,0.031578947,0.015285599,0,0,52.3,0,6.6,3.84,-0.001185153,0.014355498,35.57
1961,4/1/1961,0.014947683,0.072704082,0.008716323,0.00921659,-0.036231884,52.3,0,7,3.78,0,0,35.57
1961,7/1/1961,0.008247423,0.080856124,0.021209741,0.063926941,0.045112782,52.3,0.559284116,7,3.92,0,0,35.57
1961,10/1/1961,0.021326322,0.0220022,0.026923077,0.025751073,0.021582734,52.3,0.111234705,6.5,3.92,0,0,35.57
1962,1/1/1962,0.014874142,0.055974166,0.026966292,0.016736402,-0.003521127,50.6,0.222222222,5.8,4.08,-0.001509472,0.014487085,36.15
