Year,DATE,C,I,G,IM,EX,Temp,inflation,unemploy,LTGBY,pop_44,pop_64,top10,C2,I2,G2,IM2,EX2,pop_44_2,pop_64_2
1955,7/1/1955,0.016374269,0.027510316,0.017297297,0.01754386,0.071005917,49.6,0.49937578,4,2.9,0,0,36.7,0.000268117,0.000756817,0.000299196,0.000307787,0.00504184,0,0
1955,10/1/1955,0.014959724,0.0562249,-0.008501594,0.040229885,0.011049724,49.6,0.124223602,4.3,2.88,0,0,36.7,0.000223793,0.003161239,7.22771E-05,0.001618444,0.000122096,0,0
1956,1/1/1956,0.006046863,-0.007604563,0.01607717,0.044198895,0.06010929,51.5,-0.248138958,4,2.9,0.003923526,0.016446579,35.74,3.65646E-05,5.78294E-05,0.000258475,0.001953542,0.003613127,1.53941E-05,0.00027049
1956,4/1/1956,0.009767092,-0.01660281,0.035864979,0.005291005,0.077319588,51.5,0.870646766,4,3.18,0,0,35.74,9.53961E-05,0.000275653,0.001286297,2.79947E-05,0.005978319,0,0
1956,7/1/1956,0.012276786,0.016883117,0.00101833,0.015789474,0.043062201,51.5,1.233045623,4.4,3.11,0,0,35.74,0.000150719,0.00028504,1.037E-06,0.000249307,0.001854353,0,0
1956,10/1/1956,0.019478133,-0.01532567,0.03051882,-0.041450777,0.059633028,51.5,0.609013398,3.9,3.34,0,0,35.74,0.000379398,0.000234876,0.000931398,0.001718167,0.003556098,0,0
1957,1/1/1957,0.016222062,0.007782101,0.039486673,0.086486486,0.077922078,51.7,0.605326877,4.2,3.46,0.001294098,0.015689173,35.69,0.000263155,6.05611E-05,0.001559197,0.007479912,0.00607185,1.67469E-06,0.00024615
1957,4/1/1957,0.008158922,0.002574003,0.004748338,0.009950249,-0.020080321,51.7,1.083032491,3.9,3.48,0,0,35.69,6.6568E-05,6.62549E-06,2.25467E-05,9.90075E-05,0.000403219,0,0
1957,7/1/1957,0.016185785,0.017971759,0.015122873,-0.024630542,-0.024590164,51.7,1.071428571,4.2,3.93,0,0,35.69,0.00026198,0.000322984,0.000228701,0.000606664,0.000604676,0,0
1957,10/1/1957,0.005540166,-0.104665826,0.025139665,-0.01010101,-0.033613445,51.7,0.23557126,4.5,3.97,0,0,35.69,3.06934E-05,0.010954935,0.000632003,0.00010203,0.001129864,0,0
1958,1/1/1958,-0.001721763,-0.06056338,-0.002724796,-0.005102041,-0.108695652,53.6,1.057579318,5.8,3.09,-0.002186371,0.014958496,35.51,2.96447E-06,0.003667923,7.42451E-06,2.60308E-05,0.011814745,4.78022E-06,0.000223757
1958,4/1/1958,0.010003449,-0.023988006,0.034608379,0.030769231,0,53.6,0.813953488,7.4,2.88,0,0,35.51,0.000100069,0.000575424,0.00119774,0.000946746,0,0,0
1958,7/1/1958,0.017418033,0.105990783,0.013204225,-0.019900498,0.004878049,53.6,0.115340254,7.5,3.2,0,0,35.51,0.000303388,0.011234046,0.000174352,0.00039603,2.37954E-05,0,0
1958,10/1/1958,0.013091641,0.111111111,0.025195482,0.055837563,0,53.6,0,6.7,3.8,0,0,35.51,0.000171391,0.012345679,0.000634812,0.003117833,0,0,0
