Year,DATE,C,I,G,IM,EX,Temp,inflation,unemploy,LTGBY,pop_44,pop_64,top10
1955,4/1/1955,256.5,72.7,92.5,17.1,16.9,49.6,0,4.7,2.75,47193.769,33506.057,36.7
1955,7/1/1955,260.7,74.7,94.1,17.4,18.1,49.6,0.49937578,4,2.9,47193.769,33506.057,36.7
1955,10/1/1955,264.6,78.9,93.3,18.1,18.3,49.6,0.124223602,4.3,2.88,47193.769,33506.057,36.7
1956,1/1/1956,266.2,78.3,94.8,18.9,19.4,51.5,-0.248138958,4,2.9,47378.935,34057.117,35.74
1956,4/1/1956,268.8,77,98.2,19,20.9,51.5,0.870646766,4,3.18,47378.935,34057.117,35.74
1956,7/1/1956,272.1,78.3,98.3,19.3,21.8,51.5,1.233045623,4.4,3.11,47378.935,34057.117,35.74
1956,10/1/1956,277.4,77.1,101.3,18.5,23.1,51.5,0.609013398,3.9,3.34,47378.935,34057.117,35.74
1957,1/1/1957,281.9,77.7,105.3,20.1,24.9,51.7,0.605326877,4.2,3.46,47440.248,34591.445,35.69
1957,4/1/1957,284.2,77.9,105.8,20.3,24.4,51.7,1.083032491,3.9,3.48,47440.248,34591.445,35.69
1957,7/1/1957,288.8,79.3,107.4,19.8,23.8,51.7,1.071428571,4.2,3.93,47440.248,34591.445,35.69
1957,10/1/1957,290.4,71,110.1,19.6,23,51.7,0.23557126,4.5,3.97,47440.248,34591.445,35.69
1958,1/1/1958,289.9,66.7,109.8,19.5,20.5,53.6,1.057579318,5.8,3.09,47336.526,35108.881,35.51
1958,4/1/1958,292.8,65.1,113.6,20.1,20.5,53.6,0.813953488,7.4,2.88,47336.526,35108.881,35.51
1958,7/1/1958,297.9,72,115.1,19.7,20.6,53.6,0.115340254,7.5,3.2,47336.526,35108.881,35.51
1958,10/1/1958,301.8,80,118,20.8,20.6,53.6,0,6.7,3.8,47336.526,35108.881,35.51
1959,1/1/1959,309.4,83.2,117.2,21.4,21.9,51.7,0,6,4.02,47191.513,35663.068,35.95
1959,4/1/1959,315.5,89.4,118.5,22.5,21.8,51.7,0.34562212,5.2,4.12,47191.513,35663.068,35.95
1959,7/1/1959,320.7,83.6,119.5,22.9,24.1,51.7,0.688863375,5.1,4.4,47191.513,35663.068,35.95
1959,10/1/1959,322.8,86.5,118.6,22.5,23.1,51.7,0.570125428,5.7,4.53,47191.513,35663.068,35.95
1960,1/1/1960,326.4,96.5,117,23.3,26.1,51.9,-0.113378685,5.2,4.72,47139.893,36203.133,35.49
1960,4/1/1960,332.2,87.1,118.4,23.5,26.9,51.9,0.56753689,5.2,4.28,47139.893,36203.133,35.49
1960,7/1/1960,332.1,86.4,122.4,22.9,27.6,51.9,0.225733634,5.5,3.9,47139.893,36203.133,35.49
1960,10/1/1960,334,76,124.3,21.7,27.6,51.9,0.675675676,6.1,3.89,47139.893,36203.133,35.49
